TimeNumber,TempOutside,QuantMilk,Car,SizeBagBig,SizeBagSmall,TempRise
0.008518519,13,5,0,1,0,0.08
0.008993056,13,5,0,1,0,0.21
0.009050926,13,5,0,1,0,0.21
0.010532407,13,5,0,1,0,0.21
0.012002315,13,5,0,1,0,0.21
0.012476852,13,5,0,1,0,0.36
0.012534722,13,5,0,1,0,0.36
0.014016204,13,5,0,1,0,0.36
0.015497685,13,5,0,1,0,0.36
0.015960648,13,5,0,1,0,0.66
0.016018519,13,5,0,1,0,0.66
0.017488426,13,5,0,1,0,0.66
0.01900463,13,5,0,1,0,0.66
0.01943287,13,5,0,1,0,0.96
0.020462963,13,5,0,1,0,0.96
0.02193287,13,5,0,1,0,0.96
0.022905093,13,5,0,1,0,1.1
0.022962963,13,5,0,1,0,1.1
0.024467593,13,5,0,1,0,1.1
0.0259375,13,5,0,1,0,1.1
0.026388889,13,5,0,1,0,1.34
0.026446759,13,5,0,1,0,1.34
0.027916667,13,5,0,1,0,1.34
0.029386574,13,5,0,1,0,1.34
0.029872685,13,5,0,1,0,1.52
0.029930556,13,5,0,1,0,1.52
0.031400463,13,5,0,1,0,1.52
0.03287037,13,5,0,1,0,1.52
0.033356481,13,5,0,1,0,1.71
0.033425926,13,5,0,1,0,1.71
0.034895833,13,5,0,1,0,1.71
0.036354167,13,5,0,1,0,1.71
0.036840278,13,5,0,1,0,1.93
0.036898148,13,5,0,1,0,1.93
0.03837963,13,5,0,1,0,1.93
0.039861111,13,5,0,1,0,1.93
0.040324074,13,5,0,1,0,2.12
0.040381944,13,5,0,1,0,2.12
0.041979167,13,5,0,1,0,2.12
0.043460648,13,5,0,1,0,2.12
0.04380787,13,5,0,1,0,2.36
0.043854167,13,5,0,1,0,2.36
0.045381944,13,5,0,1,0,2.36
0.046863426,13,5,0,1,0,2.36
0.047291667,13,5,0,1,0,2.65
0.047337963,13,5,0,1,0,2.65
0.048854167,13,5,0,1,0,2.65
0.050763889,13,5,0,1,0,2.83
0.052418981,13,5,0,1,0,2.83
0.053900463,13,5,0,1,0,2.83
0.054247685,13,5,0,1,0,3.15
0.054293981,13,5,0,1,0,3.15
0.055810185,13,5,0,1,0,3.15
0.057280093,13,5,0,1,0,3.15
0.057719907,13,5,0,1,0,3.49
0.057777778,13,5,0,1,0,3.49
0.059247685,13,5,0,1,0,3.49
0.060729167,13,5,0,1,0,3.49
0.061203704,13,5,0,1,0,3.9
0.061261574,13,5,0,1,0,3.9
0.062731481,13,5,0,1,0,3.9
0.064212963,13,5,0,1,0,3.9
0.0646875,13,5,0,1,0,4.19
0.064756944,13,5,0,1,0,4.19
0.066238426,13,5,0,1,0,4.19
0.067708333,13,5,0,1,0,4.19
0.068171296,13,5,0,1,0,4.41
0.068229167,13,5,0,1,0,4.41
0.069699074,13,5,0,1,0,4.41
0.071180556,13,5,0,1,0,4.41
0.071655093,13,5,0,1,0,4.49
0.071724537,13,5,0,1,0,4.49
0.073229167,13,5,0,1,0,6.59
0.097847222,13,5,0,1,0,6.59
0.098761574,13,5,0,1,0,6.59
0.100231481,13,5,0,1,0,7.24
0.101712963,13,5,0,1,0,7.24
0.10224537,13,5,0,1,0,7.29
0.102326389,13,5,0,1,0,7.29
0.103819444,13,5,0,1,0,7.29
0.105300926,13,5,0,1,0,7.29
0.105729167,13,5,0,1,0,7.34
0.105821759,13,5,0,1,0,7.34
0.1075,13,5,0,1,0,7.34
0.108981481,13,5,0,1,0,7.34
0.00150463,-8,1,1,1,0,0
0.002986111,-8,1,1,1,0,0
0.003402778,-8,1,1,1,0,0.07
